game_id,class,tagged_by
2576,2C,gpt-4o
2987,2C,gpt-4o
3031,1B,gpt-4o
3031,5C,gpt-4o
2665,6D,gpt-4o
2767,6D,gpt-4o
2650,1B,gpt-4o
2650,2A,gpt-4o
2862,1B,gpt-4o
2936,2C,gpt-4o
2433,1C,gpt-4o
2912,7A,gpt-4o
2825,1A,gpt-4o
2915,2A,gpt-4o
2915,6C,gpt-4o
2709,2C,gpt-4o
2586,2B,gpt-4o
2542,2B,gpt-4o
2542,2C,gpt-4o
2542,6C,gpt-4o
2519,2C,gpt-4o
2886,5C,gpt-4o
2733,1A,gpt-4o
2491,1B,gpt-4o
2951,3A,gpt-4o
2604,1A,gpt-4o
2859,6D,gpt-4o
2523,1B,gpt-4o
2523,5C,gpt-4o
2474,4C,gpt-4o
2918,1A,gpt-4o
2463,1A,gpt-4o
2932,2A,gpt-4o
2932,2C,gpt-4o
2932,3A,gpt-4o
2599,3C,gpt-4o
2493,1A,gpt-4o
2493,3A,gpt-4o
2908,1A,gpt-4o
2887,2A,gpt-4o
2887,5C,gpt-4o
2849,7A,gpt-4o
2953,5C,gpt-4o
2953,4A,gpt-4o
2756,5C,gpt-4o
3013,6D,gpt-4o
2593,1A,gpt-4o
2593,2A,gpt-4o
2593,6A,gpt-4o
2596,1B,gpt-4o
2596,3A,gpt-4o
2664,1A,gpt-4o
2664,2C,gpt-4o
2575,7A,gpt-4o
2752,2C,gpt-4o
2455,1A,gpt-4o
2748,1A,gpt-4o
2748,2A,gpt-4o
2788,2C,gpt-4o
2552,1C,gpt-4o
2552,5C,gpt-4o
2585,6D,gpt-4o
2585,5C,gpt-4o
2559,2A,gpt-4o
2559,2C,gpt-4o
2611,2B,gpt-4o
2611,5C,gpt-4o
2805,5C,gpt-4o
2472,2B,gpt-4o
2810,1A,gpt-4o
2810,2B,gpt-4o
2548,6D,gpt-4o
3033,5C,gpt-4o
2876,2C,gpt-4o
2976,6D,gpt-4o
2706,6C,gpt-4o
2610,1C,gpt-4o
2505,3B,gpt-4o
2988,2B,gpt-4o
2988,2C,gpt-4o
2726,2A,gpt-4o
2726,2C,gpt-4o
2436,6D,gpt-4o
2563,2C,gpt-4o
3015,1A,gpt-4o
2487,3D,gpt-4o
3037,2C,gpt-4o
2666,1A,gpt-4o
2839,1A,gpt-4o
2872,1C,gpt-4o
2872,3B,gpt-4o
3011,1B,gpt-4o
3011,1C,gpt-4o
2965,1B,gpt-4o
2555,2A,gpt-4o
2555,2C,gpt-4o
2926,3A,gpt-4o
2549,6D,gpt-4o
2903,6D,gpt-4o
2677,3C,gpt-4o
2677,6D,gpt-4o
3083,1B,gpt-4o
3083,3C,gpt-4o
2659,1B,gpt-4o
3055,1C,gpt-4o
3055,2A,gpt-4o
2500,1A,gpt-4o
2506,7A,gpt-4o
3008,1A,gpt-4o
2803,1B,gpt-4o
2684,1A,gpt-4o
2729,2C,gpt-4o
2501,5C,gpt-4o
3054,6D,gpt-4o
2916,7A,gpt-4o
3006,1A,gpt-4o
3006,1B,gpt-4o
2948,6D,gpt-4o
2502,2C,gpt-4o
2766,2B,gpt-4o
2924,6C,gpt-4o
2797,1A,gpt-4o
2797,5C,gpt-4o
2698,1B,gpt-4o
2526,6A,gpt-4o
2695,2A,gpt-4o
2695,1A,gpt-4o
2931,6C,gpt-4o
2931,3D,gpt-4o
2853,1A,gpt-4o
2770,3A,gpt-4o
2770,4B,gpt-4o
2485,1A,gpt-4o
2452,6D,gpt-4o
3061,2C,gpt-4o
3058,3B,gpt-4o
3058,6C,gpt-4o
2781,3D,gpt-4o
2781,4B,gpt-4o
2642,1A,gpt-4o
2642,1C,gpt-4o
2484,1A,gpt-4o
2484,1B,gpt-4o
2594,1A,gpt-4o
2441,1B,gpt-4o
2565,2C,gpt-4o
2565,5C,gpt-4o
2917,7A,gpt-4o
2784,6D,gpt-4o
3010,1A,gpt-4o
2590,3C,gpt-4o
2911,6C,gpt-4o
2612,2C,gpt-4o
2608,2C,gpt-4o
2608,3D,gpt-4o
2608,2A,gpt-4o
2776,1A,gpt-4o
2776,5C,gpt-4o
2773,2A,gpt-4o
2773,2C,gpt-4o
2483,1A,gpt-4o
2960,3B,gpt-4o
2960,5C,gpt-4o
2609,1A,gpt-4o
2609,5C,gpt-4o
2996,1A,gpt-4o
2971,7A,gpt-4o
2779,6D,gpt-4o
2749,6D,gpt-4o
2979,6D,gpt-4o
3041,1A,gpt-4o
3041,1D,gpt-4o
3041,5B,gpt-4o
2742,3B,gpt-4o
2583,2C,gpt-4o
2671,1A,gpt-4o
2655,6D,gpt-4o
2437,1A,gpt-4o
2634,2C,gpt-4o
2919,7A,gpt-4o
2488,1A,gpt-4o
2488,5C,gpt-4o
2894,3A,gpt-4o
2894,6C,gpt-4o
3053,2B,gpt-4o
3053,6C,gpt-4o
2682,6D,gpt-4o
2645,3B,gpt-4o
2645,5A,gpt-4o
2645,1C,gpt-4o
2649,5A,gpt-4o
2649,5C,gpt-4o
3067,6D,gpt-4o
3068,1A,gpt-4o
3068,6B,gpt-4o
2727,6D,gpt-4o
3016,1A,gpt-4o
3016,2C,gpt-4o
3027,1B,gpt-4o
2736,2A,gpt-4o
2736,1B,gpt-4o
2870,2C,gpt-4o
2802,6D,gpt-4o
2983,1A,gpt-4o
2954,2A,gpt-4o
2954,1C,gpt-4o
2806,1A,gpt-4o
2978,1A,gpt-4o
2978,5C,gpt-4o
2580,1B,gpt-4o
2901,1C,gpt-4o
2906,2C,gpt-4o
2702,2D,gpt-4o
2721,3A,gpt-4o
2558,2D,gpt-4o
2471,1B,gpt-4o
2762,2B,gpt-4o
2762,2D,gpt-4o
2445,1B,gpt-4o
2445,1D,gpt-4o
2445,2A,gpt-4o
2753,6D,gpt-4o
2504,2B,gpt-4o
2584,2B,gpt-4o
2755,5C,gpt-4o
2697,2C,gpt-4o
2921,3B,gpt-4o
2921,4A,gpt-4o
2807,5A,gpt-4o
2537,5C,gpt-4o
2543,6D,gpt-4o
2658,2B,gpt-4o
2658,3C,gpt-4o
2520,2A,gpt-4o
2520,1C,gpt-4o
2775,3D,gpt-4o
2775,5C,gpt-4o
2775,2B,gpt-4o
2602,2D,gpt-4o
2790,5C,gpt-4o
2676,5C,gpt-4o
2676,6A,gpt-4o
3012,1C,gpt-4o
2780,2C,gpt-4o
2780,2D,gpt-4o
2952,1A,gpt-4o
2952,1B,gpt-4o
2735,3A,gpt-4o
2735,3D,gpt-4o
2913,1B,gpt-4o
2449,1B,gpt-4o
2449,1C,gpt-4o
2524,3B,gpt-4o
2524,5C,gpt-4o
2975,6A,gpt-4o
2551,2C,gpt-4o
2443,2B,gpt-4o
2443,5C,gpt-4o
2938,7A,gpt-4o
2750,2A,gpt-4o
2750,2C,gpt-4o
3034,2A,gpt-4o
3034,2C,gpt-4o
3034,6A,gpt-4o
2637,2A,gpt-4o
2637,1B,gpt-4o
2588,3C,gpt-4o
2832,5B,gpt-4o
2557,6D,gpt-4o
2738,1B,gpt-4o
2738,3A,gpt-4o
3071,1C,gpt-4o
3071,2B,gpt-4o
2509,1B,gpt-4o
2509,5C,gpt-4o
2896,7A,gpt-4o
3057,1A,gpt-4o
2704,5A,gpt-4o
2704,5B,gpt-4o
2754,6C,gpt-4o
2920,3B,gpt-4o
2871,7A,gpt-4o
2958,6D,gpt-4o
3007,2C,gpt-4o
3007,5C,gpt-4o
2648,1C,gpt-4o
2648,2A,gpt-4o
2891,6C,gpt-4o
2635,6D,gpt-4o
2635,5C,gpt-4o
2651,1D,gpt-4o
3038,6D,gpt-4o
2482,5C,gpt-4o
2462,2A,gpt-4o
2462,2C,gpt-4o
2667,3A,gpt-4o
2768,6D,gpt-4o
2467,2D,gpt-4o
2572,7A,gpt-4o
2470,1A,gpt-4o
2470,1B,gpt-4o
2627,2D,gpt-4o
2627,5C,gpt-4o
2461,6D,gpt-4o
2981,2C,gpt-4o
2981,5C,gpt-4o
2950,2C,gpt-4o
2950,2B,gpt-4o
2783,2A,gpt-4o
2476,1B,gpt-4o
2476,2A,gpt-4o
2623,1B,gpt-4o
2623,1C,gpt-4o
2623,5C,gpt-4o
2663,5C,gpt-4o
2663,2C,gpt-4o
3089,4C,gpt-4o
3089,3D,gpt-4o
2444,1B,gpt-4o
2956,3A,gpt-4o
3086,2B,gpt-4o
3086,3C,gpt-4o
2842,7A,gpt-4o
2882,2A,gpt-4o
2940,6D,gpt-4o
2678,6D,gpt-4o
2469,1C,gpt-4o
2621,2D,gpt-4o
3019,2C,gpt-4o
2672,1B,gpt-4o
2672,1C,gpt-4o
2589,3C,gpt-4o
2589,5C,gpt-4o
2922,6D,gpt-4o
2905,1C,gpt-4o
2905,3A,gpt-4o
2972,1B,gpt-4o
2718,6D,gpt-4o
2605,1C,gpt-4o
2545,7A,gpt-4o
2769,1B,gpt-4o
2769,6D,gpt-4o
2687,3B,gpt-4o
2799,1B,gpt-4o
2448,2C,gpt-4o
2826,5B,gpt-4o
2796,3A,gpt-4o
2796,2B,gpt-4o
2856,1B,gpt-4o
2856,1A,gpt-4o
2856,3A,gpt-4o
2492,1A,gpt-4o
2630,1B,gpt-4o
2630,1C,gpt-4o
2630,3C,gpt-4o
2515,5C,gpt-4o
3048,2A,gpt-4o
3048,3C,gpt-4o
2638,1B,gpt-4o
2638,6D,gpt-4o
2731,2D,gpt-4o
3001,5C,gpt-4o
2828,2A,gpt-4o
2828,5C,gpt-4o
2732,5A,gpt-4o
3028,5C,gpt-4o
2708,2C,gpt-4o
2992,2C,gpt-4o
2567,2D,gpt-4o
2567,3A,gpt-4o
2785,2C,gpt-4o
2785,1A,gpt-4o
2879,5A,gpt-4o
2527,1A,gpt-4o
2527,5C,gpt-4o
3045,3D,gpt-4o
2852,1A,gpt-4o
2852,5C,gpt-4o
2514,6D,gpt-4o
2846,3C,gpt-4o
2846,3D,gpt-4o
2829,2C,gpt-4o
2829,2D,gpt-4o
2747,6D,gpt-4o
2747,7A,gpt-4o
2521,1C,gpt-4o
2496,1C,gpt-4o
2495,2D,gpt-4o
2898,7A,gpt-4o
2685,1C,gpt-4o
2685,2C,gpt-4o
2714,1B,gpt-4o
2714,3B,gpt-4o
2681,6C,gpt-4o
2840,7A,gpt-4o
2874,7A,gpt-4o
2707,6A,gpt-4o
2707,6D,gpt-4o
2534,3C,gpt-4o
2959,6D,gpt-4o
2809,2A,gpt-4o
2980,1B,gpt-4o
2980,2C,gpt-4o
2620,1B,gpt-4o
2620,5C,gpt-4o
2774,2C,gpt-4o
2800,4C,gpt-4o
2513,1B,gpt-4o
3088,2B,gpt-4o
3088,5C,gpt-4o
2675,2A,gpt-4o
2675,5C,gpt-4o
2431,1C,gpt-4o
2459,3A,gpt-4o
2745,6D,gpt-4o
2674,2D,gpt-4o
2598,1A,gpt-4o
2598,1B,gpt-4o
2841,1A,gpt-4o
2518,1C,gpt-4o
2968,6D,gpt-4o
2865,2B,gpt-4o
2865,3B,gpt-4o
3063,5C,gpt-4o
3040,5C,gpt-4o
